,Propinsi,lon_centroid,lat_centroid,radius
0,ACEH,96.91391775334363,4.226785906634114,28978
1,SUMATERA UTARA,99.06660934580023,2.188555596320399,36490
2,SUMATERA BARAT,100.45952078589299,-0.8627272333160265,21006
3,RIAU,101.80408448052164,0.503160835218375,43512
4,JAMBI,102.72533553832905,-1.6968634433074707,25029
5,SUMATERA SELATAN,104.17363428010638,-3.208346768007095,45796
6,BENGKULU,102.36137130509093,-3.571086883536937,9960
7,LAMPUNG,105.01999908326464,-4.91197147490611,17312
8,KEPULAUAN BANGKA BELITUNG,106.53113977868388,-2.438783040840763,8212
9,KEPULAUAN RIAU,105.50322166565012,1.53228807002703,4100
10,DKI JAKARTA,106.84174820627928,-6.2053450911912185,332
11,JAWA BARAT,107.60228530751726,-6.921470047105061,176
12,JAWA TENGAH,110.20578520459716,-7.260815743216024,16400
13,DI YOGYAKARTA,110.4457151065364,-7.890650167090885,1566
14,JAWA TIMUR,112.71864494032295,-7.725155777695328,23902
15,BANTEN,106.11516950157291,-6.454895762196214,483
16,BALI,115.12898433783775,-8.364767255071614,289
17,NUSA TENGGARA BARAT,117.51543511695962,-8.610412907979459,928
18,NUSA TENGGARA TIMUR,122.19105841328195,-9.257031863891442,24359
19,KALIMANTAN BARAT,111.12628701659456,-0.08407175254240991,73654
20,KALIMANTAN TENGAH,113.42485534345843,-1.6040099536700199,76782
21,KALIMANTAN SELATAN,115.44098165017881,-3.0113583060000098,19372
22,KALIMANTAN TIMUR,116.47336027004467,0.4652865869478469,645
23,KALIMANTAN UTARA,116.21421538793842,2.8947761782546046,3773
24,SULAWESI UTARA,124.48929371945839,1.215058235899744,6946
25,SULAWESI TENGAH,121.18548401547193,-0.9764101476185996,30920
26,SULAWESI SELATAN,120.16851558779008,-3.7003657043632066,23358
27,SULAWESI TENGGARA,122.06691115931837,-4.108003511011507,1903
28,GORONTALO,122.37691923691544,0.6890869751148857,562
29,SULAWESI BARAT,119.34006100702648,-2.462629989270099,8394
30,MALUKU,129.77991764988482,-4.691429232410606,23457
31,MALUKU UTARA,127.53614849638268,0.2219263720331993,15991
32,PAPUA BARAT,132.9384344547176,-2.0080010522073284,514
33,PAPUA,138.6635757588302,-4.644581183966954,159518
